Material Family,Rate (mm/yr) or Rating,Rate (mils/yr) or Rating,UNS,Temperature (deg C),pH,Salinity (g/L),Humidity (%)
Ferritic,B (Good),B (Good),S43000,20,6,3.9,40.6
Ferritic,C (Questionable),C (Questionable),S43000,Boiling,6.9,3.1,57
Ferritic,C (Questionable),C (Questionable),S43000,20,8.5,1.4,89.5
Ferritic,D (Poor),D (Poor),S43000,Boiling,7.9,2.5,78.2
Ferritic,A (Resistant),A (Resistant),S43400,20,8,6.8,79.4
Ferritic,C (Questionable),C (Questionable),S43400,Boiling,6.7,3.9,54
Ferritic,C (Questionable),C (Questionable),S43400,20,6.4,6.3,47.7
Ferritic,D (Poor),D (Poor),S43400,Boiling,6.5,5.4,49.7
Martensitic,C (Questionable),C (Questionable),S40300,20,9,5.5,99
Martensitic,D (Poor),D (Poor),S40300,Boiling,5.2,2.5,23.2
Martensitic,C (Questionable),C (Questionable),S40300,20,8.5,5.2,89.4
Martensitic,D (Poor),D (Poor),S40300,Boiling,7.3,0.2,66.3
Martensitic,D (Poor),D (Poor),S41000,21,6.8,4.3,55.1
Martensitic,B (Good),B (Good),S41000,Room,7.9,5.7,78
Martensitic,C (Questionable),C (Questionable),S41000,20,6.9,1.8,58.9
Martensitic,D (Poor),D (Poor),S41000,Boiling,8.5,2.6,89.9
Martensitic,C (Questionable),C (Questionable),S41000,20,8.6,2.2,92.1
Martensitic,D (Poor),D (Poor),S41000,Boiling,6.7,0.7,53.7
Martensitic,D (Poor),D (Poor),S41000,Room,6.1,3.5,42.1
Martensitic,A (Resistant),A (Resistant),S41000,Room,7.4,9.8,67.4
Martensitic,C (Questionable),C (Questionable),S41600,20,8.6,3.5,93
Martensitic,D (Poor),D (Poor),S41600,Boiling,5.8,4.6,36.9
Martensitic,C (Questionable),C (Questionable),S41600,20,7.5,6.5,69.8
Martensitic,D (Poor),D (Poor),S41600,Boiling,7.5,6.5,70.5
Martensitic,C (Questionable),C (Questionable),S42000,20,7.9,9.5,78.6
Martensitic,D (Poor),D (Poor),S42000,Boiling,5.5,8.6,30.5
Martensitic,C (Questionable),C (Questionable),S42000,20,7.9,7.9,77.3
Martensitic,D (Poor),D (Poor),S42000,Boiling,8.6,9.5,92.7
Precipitation hardening,B (Good),B (Good),S36300,Room,5.7,2.3,34.4
Aluminum-magnesium,0.0066,0.26,,22,1.3,6.2,39
Aluminum-magnesium,0.0086,0.34,,22,3.9,8.9,97.7
Aluminum-magnesium,0.02,0.78,,22,1.1,6.2,34.5
Aluminum-magnesium,0.0029,0.11,,22,3.5,9.8,88.4
99.0% min Al,A (Resistant),A (Resistant),A91199,,12,1,59.4
99.0% min Al,A (Resistant),A (Resistant),A91199,,11,4.4,39.8
Aluminum-magnesium,A (Resistant),A (Resistant),,,13.5,9.8,89.7
Aluminum bronze,0.5 max ,20 max ,C61300,,11.8,3.8,55.6
Aluminum bronze,0.5 min ,20 min ,C61300,,12.1,7.4,61.2
Brass,0.003,0.1,C26000,,11.4,0.3,48.7
Brass,0.005,0.2,C26000,,12.4,6.9,67.4
Brass,0.003 max ,0.1 max ,C26000,,10.7,9.3,33.1
Brass,0.003 max ,0.1 max ,C26000,,11.6,3.8,51.3
Brass,0.003,0.1,C26000,,13.9,0.2,97.6
Brass,0.003 max ,0.1 max ,C26000,,11,0.3,40.7
Brass,A (Resistant),A (Resistant),C23000,,12.6,8.9,72.5
Brass,D (Poor),D (Poor),C23000,,11.3,7.2,46
Copper,0.003 max ,0.1 max ,C11000,,13.1,1.1,81.9
Copper,0.003,0.1,C11000,,10.5,0.5,30.5
Copper,0.003,0.1,C11000,,13.9,8,97.6
Austenitic,360,19,S31600,29,11.8,8.1,56.3
Copper,0.003 max ,0.1 max ,C11000,,10.9,1.2,38.9
Copper,0.003,0.1,C11000,,10.3,3,25.9
Copper,0.003 max ,0.1 max ,C11000,,10.7,7.8,33.6
Copper,A (Resistant),A (Resistant),C12200,,12.1,5.3,61.6
Copper,D (Poor),D (Poor),C12200,,11.3,9.6,47
Nickel-silver,A (Resistant),A (Resistant),,,13.3,4.8,86.3
Nickel-silver,D (Poor),D (Poor),,,11.7,6.8,54.5
Phosphor bronze,D (Poor),D (Poor),C52100,,11,5.1,39.9
Silicon bronze,A (Resistant),A (Resistant),C65500,,12.5,9.4,69.4
Silicon bronze,D (Poor),D (Poor),C65500,,12.8,4,76.5
Silicon bronze,A (Resistant),A (Resistant),C65100,,10.7,2.3,33.4
Silicon bronze,D (Poor),D (Poor),C65100,,10.7,3.3,33.4
Lead and alloys,0.5 max ,20 max ,L50045,24-100,10.1,8.5,22.9
Magnesium and alloys,A (Resistant),A (Resistant),,Room,12.9,5,78.9
Noble metals,0.05 max ,2 max ,P04995,950,12.7,3.5,73.1
Noble metals,0.05 max ,2 max ,P07010,190,11.9,5.4,58
Tin and alloys,A (Resistant),A (Resistant),,20,13.4,1.3,87.5
Tin and alloys,D (Poor),D (Poor),,60,13.2,0.1,84.5
Tin and alloys,D (Poor),D (Poor),,100,12.3,2.8,66.8
Nickel-chromium-iron-molybdenum,0.038,15,N08825,29,13.5,6.1,89.5
Nickel-chromium-iron-molybdenum,0.003 max ,0.1 max ,N08825,82,10.8,7.1,36.5
Duplex,A (Resistant),A (Resistant),S31803,,10.4,8.3,29
Nickel-chromium-iron-molybdenum,0.003 max ,0.1 max ,N08825,65,11.1,9.3,41.6
Nickel-chromium-iron-molybdenum,0.005,0.2,N08825,102,10.2,4.1,24.6
Nickel-chromium-iron-molybdenum,0.003,0.1,N08825,105,12.1,7.4,62.5
Titanium and alloys,0.127 max ,5.08 max ,,40,13.7,0.7,94.9
Titanium and alloys,11.2,448,,222,10.2,0.6,23.1
Zirconium alloys,0.13 max ,5 max ,R60702,38,10.5,1.2,29.8
Austenitic,A (Resistant),A (Resistant),S30100,,11.8,4.5,56.2
Austenitic,A (Resistant),A (Resistant),S30200,,13.7,2.1,94.7
Austenitic,A (Resistant),A (Resistant),S30300,,11.3,2.9,45.3
Austenitic,A (Resistant),A (Resistant),S30300,,12,6.5,60.6
Austenitic,A (Resistant),A (Resistant),S30400,21,10.2,3.6,23.3
Austenitic,A (Resistant),A (Resistant),S30400,,10.6,5.6,31.9
Austenitic,2,78,S30400,29,13.9,4.1,98.9
Austenitic,0.003 max ,0.1 max ,S30400,82,13.9,1.7,97.2
Austenitic,0.003 max ,0.1 max ,S30400,101-107,10,0.7,20.4
Austenitic,0.003 max ,0.1 max ,S30400,76-82,13.8,2.4,96.1
Austenitic,0.008,0.3,S30400,65,12.6,0.6,71.1
Austenitic,0.083,3.3,S30400,102,13.5,6.2,89.4
Austenitic,A (Resistant),A (Resistant),S31600,21,11.8,8,56.4
Austenitic,A (Resistant),A (Resistant),S31600,,12.1,3.4,61.2
Austenitic,0.003 max ,0.1 max ,S31600,82,12,3.9,59.1
Austenitic,0.003 max ,0.1 max ,S31600,101-107,12.7,8.2,73.3
Austenitic,0.003 max ,0.1 max ,S31600,76-82,10.6,2.2,31.2
Austenitic,0.015,0.6,S31600,102,10.1,1.2,22.4
Austenitic,0.003 max ,0.1 max ,S31600,65,11.2,5,44.6
Austenitic,0.003,0.1,S31600,105,12.8,6.5,76.4
Austenitic,A (Resistant),A (Resistant),S32100,,10.8,6,36.1
Austenitic,A (Resistant),A (Resistant),S34700,,12.7,7.1,73.9
Austenitic,A (Resistant),A (Resistant),S30403,,13.9,0.6,97.6
Austenitic,A (Resistant),A (Resistant),S30453,,10.4,4.3,27.5
Austenitic,A (Resistant),A (Resistant),S31620,,12.7,2.4,73.8
Austenitic,A (Resistant),A (Resistant),S31603,,11.8,7.6,55.5
Austenitic,A (Resistant),A (Resistant),S31653,,13.5,8.7,89.5
Austenitic,A (Resistant),A (Resistant),S31635,,10.7,2.8,34.2
Austenitic,A (Resistant),A (Resistant),S31703,,12.8,1,75.4
Austenitic,A (Resistant),A (Resistant),S31725,,13.4,2.5,87
Austenitic,0.005,0.2,,102,13.8,1,95.6
Austenitic,0.01,0.4,,65,12.7,3.2,74.7
Austenitic,0.003,0.1,,105,12,5.4,59.8
Austenitic ,0.003,0.1,S30400,105,12.5,9.7,69.4
Duplex,A (Resistant),A (Resistant),S32900,,13.5,4,89.5
Ferritic,A (Resistant),A (Resistant),S40500,,12.3,2.2,65.6
Ferritic,A (Resistant),A (Resistant),S40900,,10.1,1.7,22.4
Ferritic,A (Resistant),A (Resistant),S43000,21,13.7,1.7,94.5
Ferritic,A (Resistant),A (Resistant),S43000,,12.8,1.9,75.2
Ferritic,A (Resistant),A (Resistant),S43400,,12.7,7.6,74.1
Martensitic,A (Resistant),A (Resistant),S40300,,10.9,0.6,37.3
Martensitic,A (Resistant),A (Resistant),S41000,21,12.6,10,72.7
Martensitic,A (Resistant),A (Resistant),S41000,,11.6,5.2,51.5
Martensitic,A (Resistant),A (Resistant),S41600,,12.6,5.4,72.1
Martensitic,A (Resistant),A (Resistant),S42000,,10.4,3.6,28.5
Austenitic,A (Resistant),A (Resistant),S30100,20,7.6,6.9,72.6
Austenitic,A (Resistant),A (Resistant),S30200,20,9,4.7,100
Austenitic,A (Resistant),A (Resistant),S30300,20,5.2,3.3,23.9
Austenitic,A (Resistant),A (Resistant),S30300,20,8.9,2.7,98.2
Austenitic,A (Resistant),A (Resistant),S30400,20,6.6,9.3,52.6
Austenitic,A (Resistant),A (Resistant),S31600,20,8.5,2.9,89.7
Austenitic,A (Resistant),A (Resistant),S32100,20,8.1,4.4,82.6
Austenitic,A (Resistant),A (Resistant),S34700,20,7.3,3.5,65.4
Austenitic,A (Resistant),A (Resistant),S30403,20,8,0.9,79.1
Austenitic,A (Resistant),A (Resistant),S30453,20,8.5,1.9,90.3
Austenitic,A (Resistant),A (Resistant),S31620,20,6.6,1.9,52.3
Austenitic,A (Resistant),A (Resistant),S31603,20,6.3,6.9,46.2
Austenitic,A (Resistant),A (Resistant),S31653,20,7.7,4.1,73.4
Austenitic,A (Resistant),A (Resistant),S31635,20,8.2,7.8,84.6
Austenitic,A (Resistant),A (Resistant),S31703,20,8,7.1,81
Austenitic,A (Resistant),A (Resistant),S31725,20,8.2,1.9,83.8
Duplex,A (Resistant),A (Resistant),S32900,20,6.7,5.6,54.8
Duplex,A (Resistant),A (Resistant),S31803,20,8.3,7.4,85.4
Ferritic,A (Resistant),A (Resistant),S40500,20,5.5,6.3,29.6
Ferritic,A (Resistant),A (Resistant),S40900,20,7.2,6,63.6
Ferritic,A (Resistant),A (Resistant),S43000,20,5,7.4,20.5
Ferritic,A (Resistant),A (Resistant),S43400,20,6.3,0.6,46
Martensitic,A (Resistant),A (Resistant),S40300,20,6.5,7.3,49.3
Martensitic,A (Resistant),A (Resistant),S41000,20,6.6,2.7,51.7
Martensitic,A (Resistant),A (Resistant),S41600,20,7.8,5.7,75.6
Martensitic,A (Resistant),A (Resistant),S42000,20,6.6,2.4,51.1
Nickel-chromium-iron,0.025,1,N06600,25,6.8,8.4,55.9
Nickel-chromium-iron,0.22,8.7,N06600,200,6,4.8,39
Austenitic,A (Resistant),A (Resistant),S30100,20,6.5,6.4,49.9
Austenitic,A (Resistant),A (Resistant),S30200,20,5.9,7.9,38.2
Austenitic,D (Poor),D (Poor),S30300,20,5.3,9,25.9
Austenitic,A (Resistant),A (Resistant),S30300,20,7.4,7.3,68.3
Austenitic,A (Resistant),A (Resistant),S30400,20,7.7,1.5,73.5
Austenitic,A (Resistant),A (Resistant),S31600,20,7.5,8.5,69.6
Austenitic,A (Resistant),A (Resistant),S32100,20,6.9,6.2,57.1
Austenitic,A (Resistant),A (Resistant),S34700,20,6.5,6.1,50.4
Austenitic,A (Resistant),A (Resistant),S30403,20,8.5,9.2,89.1
Austenitic,A (Resistant),A (Resistant),S30453,20,7.1,2.5,61.5
Austenitic,A (Resistant),A (Resistant),S31620,20,6.9,2.4,58.3
Austenitic,A (Resistant),A (Resistant),S31603,20,5.1,5.1,22.1
Austenitic,A (Resistant),A (Resistant),S31653,20,6.4,7.5,47.3
Austenitic,A (Resistant),A (Resistant),S31635,20,6.5,4.5,50.4
Austenitic,A (Resistant),A (Resistant),S31703,20,6.6,6.3,51.9
Austenitic,A (Resistant),A (Resistant),S31725,20,7.3,4.5,66.4
Duplex,A (Resistant),A (Resistant),S32900,20,7.1,6.1,62.7
Duplex,A (Resistant),A (Resistant),S31803,20,7.4,8.2,68.6
Ferritic,D (Poor),D (Poor),S40500,20,8.1,1.8,81.2
Ferritic,D (Poor),D (Poor),S40900,20,8.3,7,85
Ferritic,D (Poor),D (Poor),S43000,20,7.9,7.9,77.4
Ferritic,C (Questionable),C (Questionable),S43400,20,8.8,4.5,96.4
Martensitic,D (Poor),D (Poor),S40300,20,5.1,3.2,21.5
Martensitic,D (Poor),D (Poor),S41000,20,5.8,0.1,35.7
Martensitic,D (Poor),D (Poor),S41600,20,5,8,20.6
Martensitic,D (Poor),D (Poor),S42000,20,7.6,3.3,71.8
Carbon steel,6.4,250,G10100,138,8.6,3.6,91.8
Carbon steel,6.4,250,G10100,149,6,3.4,39.5
Tin brass,0.051,2,C44300,138,8.7,5,94.2
Tin brass,0.15,6,C44300,149,5.2,7,24.8
Nickel-copper,0.05,2,N04400,138,8.7,7.7,94.8
Nickel-copper,0.36,14,N04400,149,6.4,3.9,48.1
Titanium and alloys,0.051,2,R53400,138,5.4,6.6,28.1
Titanium and alloys,0.13,5,R53400,149,6.9,7.2,58.9
99.0% min Al,A (Resistant),A (Resistant),A91350,20-70,6,3,40.5
Austenitic,A (Resistant),A (Resistant),S30100,20,6.1,1,42.8
Austenitic,A (Resistant),A (Resistant),S30100,Boiling,6.2,8.9,44.6
Austenitic,A (Resistant),A (Resistant),S30200,20,8.2,6.8,84.2
Precipitation hardening,D (Poor),D (Poor),S36300,Room,2.4,6.5,63.1
Austenitic,A (Resistant),A (Resistant),S30200,Boiling,6.2,0.6,44.9
Austenitic,A (Resistant),A (Resistant),S30300,20,7.4,8.2,68.8
Austenitic,A (Resistant),A (Resistant),S30300,20,7.9,5.7,77.3
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,6.1,8.5,41.8
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,6.7,9.7,53.1
Austenitic,A (Resistant),A (Resistant),S30400,20,5.5,9.6,29.8
Austenitic,A (Resistant),A (Resistant),S30400,Boiling,5.7,8.6,34.5
Austenitic,0.003,0.1,S30400,29-46,7.7,0.1,74.5
Austenitic,A (Resistant),A (Resistant),S31600,20,5.7,8.9,34.5
Austenitic,A (Resistant),A (Resistant),S31600,Boiling,7.1,0.8,62
Austenitic,0.003,0.1,S31600,29-46,7.8,8.5,76.7
Austenitic,A (Resistant),A (Resistant),S32100,20,5.4,2.8,28.6
Austenitic,A (Resistant),A (Resistant),S32100,Boiling,7.3,6.1,65.4
Austenitic,A (Resistant),A (Resistant),S34700,20,6,0.4,40.5
Austenitic,A (Resistant),A (Resistant),S34700,Boiling,8.9,7.7,97
Austenitic,A (Resistant),A (Resistant),S30403,20,6.9,1.1,58.7
Austenitic,A (Resistant),A (Resistant),S30403,Boiling,8.2,4.1,84.5
Austenitic,A (Resistant),A (Resistant),S30453,20,7.2,8.2,64
Austenitic,A (Resistant),A (Resistant),S30453,Boiling,5.2,7,23.5
Austenitic,A (Resistant),A (Resistant),S31620,20,7.5,0.1,70.7
Austenitic,A (Resistant),A (Resistant),S31620,Boiling,8.8,4,96.1
Austenitic,A (Resistant),A (Resistant),S31603,20,7.4,0.4,68.1
Austenitic,A (Resistant),A (Resistant),S31603,Boiling,8.3,6.7,85.5
Austenitic,A (Resistant),A (Resistant),S31653,20,8.5,9.7,90.7
Martensitic,A (Resistant),A (Resistant),S41000,21,10.9,6.6,38.2
Austenitic,A (Resistant),A (Resistant),S31653,Boiling,5.8,2.2,37
Austenitic,A (Resistant),A (Resistant),S31635,20,7.4,3.6,68.9
Austenitic,A (Resistant),A (Resistant),S31635,Boiling,6.6,9.8,52.9
Austenitic,A (Resistant),A (Resistant),S31703,20,8.4,2.2,87.2
Austenitic,A (Resistant),A (Resistant),S31703,Boiling,8.6,5.6,92
Austenitic,A (Resistant),A (Resistant),S31725,20,6.4,4,48.3
Austenitic,A (Resistant),A (Resistant),S31725,Boiling,5.9,7.7,38.9
Duplex,A (Resistant),A (Resistant),S32900,20,8.1,8.7,82.4
Duplex,A (Resistant),A (Resistant),S32900,Boiling,6.1,3.4,42
Duplex,A (Resistant),A (Resistant),S31803,20,8.3,6.6,85.8
Duplex,A (Resistant),A (Resistant),S31803,Boiling,6.7,5.5,53.9
Ferritic,A (Resistant),A (Resistant),S40500,20,7.7,2.8,73.4
Ferritic,A (Resistant),A (Resistant),S40500,Boiling,5.4,2.7,27.6
Ferritic,A (Resistant),A (Resistant),S40900,20,7.5,5.4,69.9
Ferritic,A (Resistant),A (Resistant),S40900,Boiling,6.8,1.5,56.1
Ferritic,B (Good),B (Good),S43000,21,7.3,8.1,66.9
Ferritic,B (Good),B (Good),S43000,21,5.7,0.7,33.4
Ferritic,A (Resistant),A (Resistant),S43000,20,7.9,0.9,78.9
Ferritic,A (Resistant),A (Resistant),S43000,Boiling,8.5,3.4,89
Ferritic,A (Resistant),A (Resistant),S43400,20,5.9,1.2,37.3
Ferritic,A (Resistant),A (Resistant),S43400,Boiling,5.4,4.8,27.7
Martensitic,A (Resistant),A (Resistant),S40300,20,5.1,4,21.9
Martensitic,A (Resistant),A (Resistant),S40300,Boiling,7.6,7.2,71.4
Martensitic,B (Good),B (Good),S41000,21,7.4,9.5,68.6
Martensitic,B (Good),B (Good),S41000,21,7.2,7.5,63.7
Martensitic,A (Resistant),A (Resistant),S41000,Room,5.9,1.8,38.6
Martensitic,A (Resistant),A (Resistant),S41000,20,6.6,9.4,51.3
Martensitic,A (Resistant),A (Resistant),S41000,Boiling,7.4,3.9,67.6
Martensitic,A (Resistant),A (Resistant),S41600,20,7,4.7,59.7
Martensitic,A (Resistant),A (Resistant),S41600,Boiling,9,4.2,99
Martensitic,A (Resistant),A (Resistant),S42000,20,5.5,2.8,30.9
Martensitic,A (Resistant),A (Resistant),S42000,Boiling,7.8,9,75.6
99.0% min Al,A (Resistant),A (Resistant),A91350,20-70,6.6,3.3,52.3
Aluminum-manganese,A (Resistant),A (Resistant),,20-70,6.7,5.8,54.3
Carbon steel,1.5,60,G10100,138,7.9,2.4,77.4
Carbon steel,3.3,130,G10100,149,7.8,8,75.4
Aluminum bronze,D (Poor),D (Poor),,,9,7.7,99.3
Aluminum bronze,0.5 min ,20 min ,C61300,,5.5,3,30.3
Brass,D (Poor),D (Poor),,,5.4,6.8,28.3
Brass,D (Poor),D (Poor),C26000,,7.9,7,77.9
Brass,D (Poor),D (Poor),C22000,,7.3,5.6,66.3
Brass,D (Poor),D (Poor),C28000,,6.1,6,41.9
Brass,D (Poor),D (Poor),C23000,,5.3,5.7,26.4
Copper,D (Poor),D (Poor),C11000,,5.3,0.8,26.9
Copper,D (Poor),D (Poor),C12200,,8.6,6.7,91.5
Copper-nickel,C (Questionable),C (Questionable),C71500,,5.8,4.7,35.3
Copper-nickel,D (Poor),D (Poor),C70600,,6.3,4.4,45.9
Leaded brass,D (Poor),D (Poor),C38500,,5.9,8.6,38.1
Leaded brass,D (Poor),D (Poor),C36000,,6.4,0.2,48.4
Nickel-silver,D (Poor),D (Poor),,,5.3,2.5,25.6
Phosphor bronze,D (Poor),D (Poor),C51000,,7.1,1.2,61.5
Phosphor bronze,D (Poor),D (Poor),C52100,,5.3,0.4,25.4
Silicon bronze,D (Poor),D (Poor),C65500,,8.2,2.8,84
Silicon bronze,D (Poor),D (Poor),C65100,,5.9,9.9,38.7
Tin brass,D (Poor),D (Poor),C44300,,7.2,2.7,63.2
Tin brass,0.18,0.7,C44300,138,8.5,6.6,90.4
Tin brass,0.18,0.7,C44300,149,7.6,1.2,72.1
Tin brass,D (Poor),D (Poor),C46400,,7.1,6,62.6
Lead and alloys,0.5 max ,20 max ,L50045,24,6.3,9.8,45.9
Noble metals,0.05 max ,2 max ,P04995,Boiling,6.3,2.9,46.6
Noble metals,0.05 max ,2 max ,P07010,Boiling,7.7,8.5,73.6
Noble metals,D (Poor),D (Poor),P07010,200,9,10,99.5
Tin and alloys,A (Resistant),A (Resistant),,20,7.6,5.9,72.9
Tin and alloys,D (Poor),D (Poor),,60,7.2,3.1,64.6
Tin and alloys,D (Poor),D (Poor),,100,7.9,6.7,78.5
Nickel,0.21,8.4,N02200,102,6.9,8.4,57.2
Nickel,0.21,8.4,N02200,102,5.2,1.7,24.8
Nickel-chromium-iron,0.003 max ,0.1 max ,N08800,80,7.2,4.5,65
Nickel-chromium-iron,0.14,5.7,N07718,204,8.8,3.2,96.6
Nickel-chromium-iron,0.002,0.1,N06601,80,5.7,2.8,34
Nickel-chromium-iron-molybdenum,0.003,0.1,N08825,49,7.8,8.6,75.2
Nickel-chromium-iron-molybdenum,0.003 max ,0.1 max ,N08825,49,5.8,4.2,36.1
Nickel-chromium-molybdenum-(tungsten),0.1,3.8,N06625,204,7.1,3.4,62.9
Austenitic,B (Good),B (Good),S31603,100,5.4,6,27.7
Nickel-chromium-molybdenum-(tungsten),0.04,1.4,N10276,204,6.8,2.2,56
Nickel-copper,0.025,1,N04400,138,8,2.3,80.5
Nickel-copper,0.051,2,N04400,149,6.4,5.2,47.8
Nickel-copper,0.3,12,N04400,102,7.7,4.1,73.2
Cobalt and alloys,0.04,1.6,,204,8.2,2.9,83.6
Tantalum and alloys,A (Resistant),A (Resistant),R05210,100,8.7,0.5,94.2
Titanium and alloys,A (Resistant),A (Resistant),R53400,Boiling,5.9,5.2,38.8
Titanium and alloys,A (Resistant),A (Resistant),,Boiling,6.6,8.2,51.9
Titanium and alloys,A (Resistant),A (Resistant),,Boiling,5.6,8.5,32.2
Titanium and alloys,D (Poor),D (Poor),R50400,Boling,9,2.4,99.4
Titanium and alloys,A (Resistant),A (Resistant),R52400,Boiling,8.7,6,94.2
Titanium and alloys,0.013 max ,0.52 max ,,100,7.2,8.6,63.2
Titanium and alloys,A (Resistant),A (Resistant),R53400,Boiling,8.4,4.1,87.4
Titanium and alloys,0.003 max ,0.1 max ,R53400,138,7.1,9.3,61.7
Titanium and alloys,0.003,0.1,R53400,149,7.5,9,69.9
Zirconium and alloys,0.025 max ,1 max ,R60702,35-100,5.4,2.1,27.1
Zirconium and alloys,0.025 max ,1 max ,R60702,35-100,8,2.6,80.4
Zirconium and alloys,0.025 max ,1 max ,R60702,35-100,5.5,1.8,30.2
Austenitic,A (Resistant),A (Resistant),S30100,Boiling,8.3,2,86.1
Austenitic,B (Good),B (Good),S30100,Boiling,8.1,9.1,82.6
Austenitic,B (Good),B (Good),S30100,Boiling,7.8,9.3,76.7
Austenitic,A (Resistant),A (Resistant),S30100,20,5.1,0.5,22.9
Austenitic,B (Good),B (Good),S30100,Boiling,6.2,5.9,44.3
Austenitic,A (Resistant),A (Resistant),S30200,Boiling,6.1,5.6,41
Austenitic,B (Good),B (Good),S30200,Boiling,6.4,3.9,48.8
Austenitic,B (Good),B (Good),S30200,Boiling,5.4,6.3,27
Austenitic,A (Resistant),A (Resistant),S30200,20,8.7,9.5,95
Austenitic,B (Good),B (Good),S30200,Boiling,7.2,1.7,64.3
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,6.2,1.2,44.4
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,6.6,0.3,51.8
Austenitic,B (Good),B (Good),S30300,Boiling,6.8,3.6,55.8
Austenitic,B (Good),B (Good),S30300,Boiling,7.4,3.4,68
Austenitic,B (Good),B (Good),S30300,Boiling,7.1,4.3,61.3
Austenitic,A (Resistant),A (Resistant),S30300,20,8.7,5,93.6
Austenitic,A (Resistant),A (Resistant),S30300,20,7,7.6,59.8
Austenitic,B (Good),B (Good),S30300,Boiling,9,3.9,99.4
Austenitic,D (Poor),D (Poor),S30300,Boiling,8.4,3.3,88.1
Austenitic,D (Poor),D (Poor),S30400,Boiling,5.8,8.3,36.7
Austenitic,A (Resistant),A (Resistant),S30400,Boiling,8.7,8.5,94.4
Austenitic,B (Good),B (Good),S30400,Boiling,5.5,2.3,29.3
Austenitic,B (Good),B (Good),S30400,Boiling,8.3,3.1,85.4
Austenitic,A (Resistant),A (Resistant),S30400,20,6.5,8.3,50.4
Austenitic,B (Good),B (Good),S30400,Boiling,8.5,0.8,90.2
Austenitic,0.015,0.6,S30400,49,8.5,3.3,89.4
Austenitic,B (Good),B (Good),S31620,Boiling,8.2,4.5,84.5
Austenitic,0.02,0.8,S30400,49,8.2,1.9,83.2
Austenitic,0.008,0.3,S30400,49,6.2,1.8,44.4
Austenitic,0.018,0.7,S30400,49,5.3,4.2,26.5
Austenitic,0.003 max ,0.1 max ,S30400,30-80,6.6,7.5,52.2
Austenitic,0.033,1.3,S30400,60,5.7,8.4,33.9
Austenitic,B (Good),B (Good),S31600,Boiling,7.8,9.8,75.6
Austenitic,A (Resistant),A (Resistant),S31600,Boiling,6.4,0.7,47.7
Austenitic,B (Good),B (Good),S31600,Boiling,8.9,2.2,98
Austenitic,B (Good),B (Good),S31600,Boiling,7.6,7.6,71.3
Austenitic,A (Resistant),A (Resistant),S31600,20,8.3,5.4,85.8
Austenitic,B (Good),B (Good),S31600,Boiling,5.5,3.3,30.6
Austenitic,0.025 max ,1 max ,S31600,Boiling,8.4,2.1,89
Austenitic,0.003 max ,0.1 max ,S31600,49,8.7,2.8,93.8
Austenitic,0.005,0.2,S31600,49,6.9,4.3,59
Austenitic,0.01,0.4,S31600,49,7.4,1.8,68.5
Austenitic,0.013,0.5,S31600,49,8.1,9.6,81.2
Austenitic,0.003 max ,0.1 max ,S31600,30-80,5.7,1.1,34
Austenitic,0.003,0.1,S31600,60,7,9.9,60.2
Austenitic,D (Poor),D (Poor),S31600,Boiling,6.6,8.4,51.9
Austenitic,0.008,0.3,S31700,49,5.6,4.2,31.7
Austenitic,0.003 max ,0.1 max ,S31700,49,6.5,7.4,49.4
Austenitic,A (Resistant),A (Resistant),S32100,Boiling,5.3,6.7,25.5
Austenitic,B (Good),B (Good),S32100,Boiling,5.1,2.1,22.1
Austenitic,B (Good),B (Good),S32100,Boiling,5.5,3.4,30.8
Austenitic,A (Resistant),A (Resistant),S32100,20,8.9,5.1,97
Austenitic,B (Good),B (Good),S32100,Boiling,7.2,6.4,64
Austenitic,A (Resistant),A (Resistant),S34700,Boiling,8.9,5.4,97.3
Austenitic,B (Good),B (Good),S34700,Boiling,6.7,4.7,54.6
Austenitic,B (Good),B (Good),S34700,Boiling,6.2,4.4,44.9
Austenitic,A (Resistant),A (Resistant),S34700,20,7,5,60.5
Austenitic,B (Good),B (Good),S34700,Boiling,6.8,4.3,55.2
Austenitic,0.05,2,N08020,204,5.4,5.4,28.5
Austenitic,A (Resistant),A (Resistant),S30403,Boiling,7.6,8.9,71.3
Austenitic,B (Good),B (Good),S30403,Boiling,5.9,6.3,37.3
Austenitic,B (Good),B (Good),S30403,Boiling,7.5,7.2,69.6
Austenitic,A (Resistant),A (Resistant),S30403,20,7.6,6,72
Austenitic,B (Good),B (Good),S30403,Boiling,5.6,6.4,32.2
Austenitic,A (Resistant),A (Resistant),S30453,Boiling,5.2,5.8,24.9
Austenitic,B (Good),B (Good),S30453,Boiling,8.1,0.3,82.5
Austenitic,B (Good),B (Good),S30453,Boiling,6.8,10,56.8
Austenitic,A (Resistant),A (Resistant),S30453,20,5.2,0.3,24.7
Austenitic,B (Good),B (Good),S30453,Boiling,9,4,99.6
Austenitic,A (Resistant),A (Resistant),S31620,Boiling,5.2,1.1,24.6
Austenitic,B (Good),B (Good),S31620,Boiling,7.8,1,75.6
Ferritic,0.005,0.2,S44735,121,13.9,7.9,98.7
Austenitic,A (Resistant),A (Resistant),S31620,20,6,4.3,39.1
